step	post	like	prior	mu1	mu2	gamma	pi	spa1	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11
1	-165.426225847259275	-167.537681662675567	2.111455815416298	0.000100000000000	0.000100000000000	1.000000000000000	0.978987322085053	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	3	2	5	11	1	5	2	2	1	1	1	1	1	1	1	1	1	1	1
500	-128.001170439191213	-130.264107855405143	2.262937416213937	0.000100045036916	0.000100045036916	1.000000000000000	0.995604391669673	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16138	16102	0	1	1	1	1	1	6	6	5	5	1	1	1	1	1	1	1	1	1	1	1	1
1000	-127.995725259918913	-130.006873235721173	2.011147975802263	0.000100660267372	0.000100660267372	1.000000000000000	0.968136778184364	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	1	5	6	6	5	6	1	1	1	1	1	1	1	1	1	1	1	1
1500	-130.279687378021919	-131.534072474525829	1.254385096503922	0.000100689197425	0.000100689197425	1.000000000000000	0.890059765488155	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16134	16133	16139	16102	0	1	1	1	1	5	5	1	5	5	1	1	1	1	1	1	1	1	1	1	1	1
2000	-129.109179550297142	-130.813470495167905	1.704290944870777	0.000100896176251	0.000100896176251	1.000000000000000	0.935684316986325	0.000000000000000	16083	16085	16107	16112	16117	16124	16132	16135	16133	16138	16102	0	1	1	1	1	1	6	11	6	8	1	1	1	1	1	1	1	1	1	1	1	1
2500	-129.009843739806513	-130.549048896325274	1.539205156518774	0.000102431410822	0.000102431410822	1.000000000000000	0.918677637977747	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16134	16133	16139	16102	0	1	1	1	1	5	5	6	5	6	1	1	1	1	1	1	1	1	1	1	1	1
3000	-128.258907129866515	-130.558379614106457	2.299472484239943	0.000104592287278	0.000104592287278	1.000000000000000	0.999654214380511	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	1	5	6	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-127.435774363041233	-129.678595815008606	2.242821451967374	0.000104729244282	0.000104729244282	1.000000000000000	0.993381594207330	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	1	5	5	6	5	6	1	1	1	1	1	1	1	1	1	1	1	1
4000	-130.899574160334566	-131.744784020718271	0.845209860383710	0.000103730666674	0.000103730666674	1.000000000000000	0.850500243026219	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	1	1	6	11	5	8	1	1	1	1	1	1	1	1	1	1	1	1
4500	-128.803315510484680	-130.811691830825964	2.008376320341287	0.000104138601777	0.000104138601777	1.000000000000000	0.967838675023543	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	1	1	6	6	1	5	1	1	1	1	1	1	1	1	1	1	1	1
5000	-127.324006644738532	-129.533264342371581	2.209257697633054	0.000108263312349	0.000108263312349	1.000000000000000	0.989683869489995	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	1	5	5	5	5	8	1	1	1	1	1	1	1	1	1	1	1	1
