step	post	like	prior	mu1	mu2	gamma	pi	spa1	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11
8500	-110.108098279536577	-112.369406706487510	2.261308426950940	0.011723591782465	0.011723591782465	1.000000000000000	0.995424204769836	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	1	1	6	1	1	9	1	1	1	1	1	1	1	1	1	1	1	1
9000	-114.281700685448982	-116.174064216283682	1.892363530834705	0.144051286218661	0.144051286218661	1.000000000000000	0.955442998221960	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16138	16102	0	1	1	2	4	1	5	1	7	1	1	1	1	1	1	1	1	1	1	1	2	1
9500	-111.638730062463054	-113.577119199542693	1.938389137079632	0.089041892582937	0.089041892582937	1.000000000000000	0.960341606872939	0.000000000000000	16083	16089	16107	16112	16117	16123	16132	16135	16133	16137	16102	0	1	1	3	4	5	2	5	1	6	1	1	1	1	1	1	1	1	1	1	1	1
10000	-109.389055810342100	-111.071103778191372	1.682047967849277	0.161917057611567	0.161917057611567	1.000000000000000	0.933374682807254	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	2	1	4	1	5	1	6	5	1	1	1	1	1	1	1	1	1	1	1	1
10500	-107.670883930450046	-109.058894172539496	1.388010242089454	0.131498167386079	0.131498167386079	1.000000000000000	0.903373284944827	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	3	1	5	1	6	5	9	1	1	1	1	1	1	1	1	1	1	1	1
11000	-106.448512899413089	-108.748963459825575	2.300450560412490	0.149477196399550	0.149477196399550	1.000000000000000	0.999762857835811	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	1	5	5	11	2	6	1	1	1	1	1	1	1	1	1	1	1	1
11500	-107.928396964227005	-109.703369384736718	1.774972420509715	0.203050439809808	0.203050439809808	1.000000000000000	0.943061642221136	0.000000000000000	16083	16089	16107	16112	16115	16124	16132	16135	16133	16139	16102	0	1	1	1	4	1	5	11	5	8	1	1	1	1	1	1	1	1	1	1	1	1
12000	-111.985087354480370	-113.860783678420091	1.875696323939716	0.193147389261479	0.193147389261479	1.000000000000000	0.953675239357586	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	2	1	4	1	3	2	5	8	1	1	1	1	1	1	1	1	1	1	1	1
12500	-108.377597061649553	-110.632097624325368	2.254500562675821	0.270940496644000	0.270940496644000	1.000000000000000	0.994671521383606	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	1	1	6	6	6	8	2	1	1	1	1	1	1	1	1	1	1	1
13000	-113.385126630419094	-115.436799167051149	2.051672536632052	0.342280828212177	0.342280828212177	1.000000000000000	0.972505864737698	0.000000000000000	16083	16089	16103	16112	16117	16122	16132	16135	16133	16139	16102	0	1	1	1	2	3	6	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1
