step	p_accept_mu1	p_accept_gamma	p_accept_pi		p_accept_Tinf	p_accept_spa1	sigma_mu1	sigma_gamma	sigma_pi	sigma_spa1	n_like_zero
1	1.00000	1.00000	1.00007	1.00000	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0.010000000000000	0
500	1.00000	1.00000	1.00007	0.32522	1.00000	0.000100000000000	1.000000000000000	0.010000000000000	0.010000000000000	0
1000	1.00000	1.00000	0.86000	0.32666	1.00000	0.000150000000000	1.000000000000000	0.015000000000000	0.010000000000000	0
1500	1.00000	1.00000	0.79000	0.32495	1.00000	0.000225000000000	1.000000000000000	0.022500000000000	0.010000000000000	0
2000	1.00000	1.00000	0.75200	0.32416	1.00000	0.000337500000000	1.000000000000000	0.033750000000000	0.010000000000000	0
2500	1.00000	1.00000	0.63200	0.32235	1.00000	0.000506250000000	1.000000000000000	0.050625000000000	0.010000000000000	0
3000	0.99800	1.00000	0.60000	0.32215	1.00000	0.000759375000000	1.000000000000000	0.075937500000000	0.010000000000000	0
3500	0.99600	1.00000	0.40200	0.32162	1.00000	0.001139062500000	1.000000000000000	0.113906250000000	0.010000000000000	0
4000	0.99400	1.00000	0.42000	0.32049	1.00000	0.001708593750000	1.000000000000000	0.113906250000000	0.010000000000000	0
4500	0.98600	1.00000	0.41533	0.32070	1.00000	0.002562890625000	1.000000000000000	0.113906250000000	0.010000000000000	0
5000	0.99800	1.00000	0.41500	0.32028	1.00000	0.003844335937500	1.000000000000000	0.113906250000000	0.010000000000000	0
5500	0.99200	1.00000	0.41200	0.31926	1.00000	0.005766503906250	1.000000000000000	0.113906250000000	0.010000000000000	0
6000	0.97400	1.00000	0.42067	0.31899	1.00000	0.008649755859375	1.000000000000000	0.113906250000000	0.010000000000000	0
6500	0.98400	1.00000	0.42886	0.31884	1.00000	0.012974633789063	1.000000000000000	0.113906250000000	0.010000000000000	0
7000	0.97200	1.00000	0.42925	0.31907	1.00000	0.019461950683594	1.000000000000000	0.113906250000000	0.010000000000000	0
7500	0.94600	1.00000	0.43044	0.31905	1.00000	0.029192926025391	1.000000000000000	0.113906250000000	0.010000000000000	0
8000	0.93200	1.00000	0.42760	0.31892	1.00000	0.043789389038086	1.000000000000000	0.113906250000000	0.010000000000000	0
8500	0.94600	1.00000	0.42273	0.32267	1.00000	0.065684083557129	1.000000000000000	0.113906250000000	0.010000000000000	0
9000	0.90000	1.00000	0.42550	0.32816	1.00000	0.098526125335693	1.000000000000000	0.113906250000000	0.010000000000000	0
9500	0.88200	1.00000	0.42938	0.33289	1.00000	0.147789188003540	1.000000000000000	0.113906250000000	0.010000000000000	0
10000	0.76800	1.00000	0.42643	0.33680	1.00000	0.221683782005310	1.000000000000000	0.113906250000000	0.010000000000000	0
10500	0.70600	1.00000	0.42373	0.34066	1.00000	0.332525673007965	1.000000000000000	0.113906250000000	0.010000000000000	0
11000	0.57600	1.00000	0.42412	0.34367	1.00000	0.498788509511948	1.000000000000000	0.113906250000000	0.010000000000000	0
11500	0.51600	1.00000	0.42412	0.34645	1.00000	0.748182764267921	1.000000000000000	0.113906250000000	0.010000000000000	0
12000	0.37400	1.00000	0.42033	0.34886	1.00000	1.000000000000000	1.000000000000000	0.113906250000000	0.010000000000000	0
12500	0.40100	1.00000	0.42253	0.35129	1.00000	1.000000000000000	1.000000000000000	0.113906250000000	0.010000000000000	0
13000	0.39600	1.00000	0.42250	0.35301	1.00000	1.000000000000000	1.000000000000000	0.113906250000000	0.010000000000000	0
13500	0.40250	1.00000	0.42410	0.35414	1.00000	1.000000000000000	1.000000000000000	0.113906250000000	0.010000000000000	0
14000	0.40560	1.00000	0.42291	0.35547	1.00000	1.000000000000000	1.000000000000000	0.113906250000000	0.010000000000000	0
14500	0.40733	1.00000	0.42330	0.35717	1.00000	1.000000000000000	1.000000000000000	0.113906250000000	0.010000000000000	0
15000	0.41029	1.00000	0.42508	0.35858	1.00000	1.000000000000000	1.000000000000000	0.113906250000000	0.010000000000000	0
15500	0.41375	1.00000	0.42360	0.36007	1.00000	1.000000000000000	1.000000000000000	0.113906250000000	0.010000000000000	0
16000	0.41422	1.00000	0.42215	0.36163	1.00000	1.000000000000000	1.000000000000000	0.113906250000000	0.010000000000000	0
16500	0.41420	1.00000	0.42148	0.36297	1.00000	1.000000000000000	1.000000000000000	0.113906250000000	0.010000000000000	0
17000	0.41345	1.00000	0.42164	0.36353	1.00000	1.000000000000000	1.000000000000000	0.113906250000000	0.010000000000000	0
17500	0.41233	1.00000	0.42159	0.36490	1.00000	1.000000000000000	1.000000000000000	0.113906250000000	0.010000000000000	0
18000	0.41231	1.00000	0.42240	0.36557	1.00000	1.000000000000000	1.000000000000000	0.113906250000000	0.010000000000000	0
18500	0.41243	1.00000	0.42174	0.36684	1.00000	1.000000000000000	1.000000000000000	0.113906250000000	0.010000000000000	0
19000	0.41280	1.00000	0.42075	0.36788	1.00000	1.000000000000000	1.000000000000000	0.113906250000000	0.010000000000000	0
19500	0.41237	1.00000	0.42230	0.36885	1.00000	1.000000000000000	1.000000000000000	0.113906250000000	0.010000000000000	0
20000	0.41259	1.00000	0.42059	0.36981	1.00000	1.000000000000000	1.000000000000000	0.113906250000000	0.010000000000000	0
20500	0.41244	1.00000	0.42063	0.37095	1.00000	1.000000000000000	1.000000000000000	0.113906250000000	0.010000000000000	0
21000	0.41084	1.00000	0.42083	0.37168	1.00000	1.000000000000000	1.000000000000000	0.113906250000000	0.010000000000000	0
