step	post	like	prior	mu1	mu2	gamma	pi	spa1	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11
1	-203.059354016233897	-204.363336131142773	1.303982114908870	0.000100000000000	0.000100000000000	1.000000000000000	0.894978228721572	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	2	3	3	2	3	7	5	4	2	1	1	1	1	1	1	1	1	1	1	1
500	-128.203866030040160	-130.306509812692042	2.102643782651894	0.000100000038274	0.000100000038274	1.000000000000000	0.978029250264036	0.000000000000000	16083	16089	16107	16112	16117	16124	16130	16135	16133	16139	16102	0	1	1	1	1	5	6	5	1	8	1	1	1	1	1	1	1	1	1	1	1	1
1000	-128.620475859522173	-130.832890316450886	2.212414456928702	0.000100041386062	0.000100041386062	1.000000000000000	0.990031063015098	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	1	5	1	1	5	6	1	1	1	1	1	1	1	1	1	1	1	1
1500	-127.457630768096195	-129.675038051590519	2.217407283494322	0.000101042795461	0.000101042795461	1.000000000000000	0.990580443542459	0.000000000000000	16083	16087	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	1	5	6	6	6	6	1	1	1	1	1	1	1	1	1	1	1	1
2000	-127.731433387281086	-130.033619007094700	2.302185619813610	0.000100972553819	0.000100972553819	1.000000000000000	0.999955615076103	0.000000000000000	16083	16089	16107	16110	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	1	5	5	11	6	5	1	1	1	1	1	1	1	1	1	1	1	1
2500	-133.678210995971369	-135.085096372485339	1.406885376513964	0.000100857397646	0.000100857397646	1.000000000000000	0.905269861055598	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	1	5	1	6	1	9	1	1	1	1	1	1	1	1	1	1	1	2
3000	-132.013432078687259	-132.693968040987443	0.680535962300189	0.000100757614953	0.000100757614953	1.000000000000000	0.835080057745093	0.000000000000000	16083	16089	16107	16112	16117	16124	16129	16135	16133	16139	16102	0	1	1	1	1	5	1	11	6	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-128.064649384901031	-130.090755629579490	2.026106244678466	0.000102234035401	0.000102234035401	1.000000000000000	0.969747188337106	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	1	5	5	11	6	9	1	1	1	1	1	1	1	1	1	1	1	1
4000	-129.300609913955441	-130.831876162542130	1.531266248586702	0.000101182985024	0.000101182985024	1.000000000000000	0.917867628930988	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	1	5	1	6	6	9	1	1	1	1	1	1	1	1	1	1	1	1
4500	-129.602000952486577	-131.122087398560581	1.520086446074008	0.000106301497595	0.000106301497595	1.000000000000000	0.916728161376052	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	1	5	6	11	5	1	1	1	1	1	1	1	1	1	1	1	1	1
5000	-129.955822067391523	-131.808862928507949	1.853040861116421	0.000091043354560	0.000091043354560	1.000000000000000	0.951277596836978	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	1	1	6	1	1	8	1	1	1	1	1	1	1	1	1	1	1	1
5500	-133.932793671855364	-136.161690282173197	2.228896610317846	0.000098983793989	0.000098983793989	1.000000000000000	0.991845817994075	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	1	1	6	5	6	8	1	1	1	1	1	1	1	1	1	1	1	2
6000	-128.730103896687552	-129.828338804200371	1.098234907512825	0.000139553328090	0.000139553328090	1.000000000000000	0.874750402786296	0.000000000000000	16083	16089	16107	16112	16117	16123	16132	16135	16133	16139	16102	0	1	1	1	1	5	5	5	6	6	1	1	1	1	1	1	1	1	1	1	1	1
6500	-123.512231011221346	-125.760982416691917	2.248751405470575	0.000259472955961	0.000259472955961	1.000000000000000	0.994036332844691	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	1	5	6	6	6	9	1	1	1	1	1	1	1	1	1	1	1	1
7000	-124.172665609071061	-126.192104487357611	2.019438878286548	0.000270167236527	0.000270167236527	1.000000000000000	0.969029047730072	0.000000000000000	16083	16089	16107	16112	16117	16124	16131	16135	16133	16139	16102	0	1	1	1	1	5	6	11	5	8	1	1	1	1	1	1	1	1	1	1	1	1
7500	-121.058994928993698	-123.016419936882272	1.957425007888574	0.000589152744261	0.000589152744261	1.000000000000000	0.962374971914674	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	1	5	6	6	5	6	1	1	1	1	1	1	1	1	1	1	1	1
8000	-111.899087897970645	-114.145721162301186	2.246633264330542	0.006941602060203	0.006941602060203	1.000000000000000	0.993802414899584	0.000000000000000	16083	16089	16107	16111	16116	16124	16132	16135	16133	16139	16102	0	1	1	1	1	1	1	11	5	8	1	1	1	1	1	1	1	1	1	1	1	1
8500	-106.418032092013576	-108.502006436262960	2.083974344249389	0.037534792182759	0.037534792182759	1.000000000000000	0.976002546753513	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16101	0	1	1	1	1	5	1	1	5	8	1	1	1	1	1	1	1	1	1	1	1	1
9000	-104.688942559740951	-106.744948488149362	2.056005928408410	0.103873598901650	0.103873598901650	1.000000000000000	0.972974227363771	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	1	5	1	6	5	5	1	1	1	1	1	1	1	1	1	1	1	1
9500	-115.158550910407399	-117.131000072407431	1.972449162000030	0.168905816252868	0.168905816252868	1.000000000000000	0.963982854700216	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16133	16133	16139	16102	0	1	1	1	4	4	5	1	2	8	1	1	1	1	1	1	1	2	1	1	1	1
10000	-109.670673686374286	-111.789874386777882	2.119200700403597	0.091126382723156	0.091126382723156	1.000000000000000	0.979830145143864	0.000000000000000	16083	16089	16107	16112	16117	16123	16132	16135	16133	16139	16102	0	1	1	2	1	1	5	1	4	5	1	1	1	1	1	1	1	1	1	1	1	1
10500	-111.372611976545357	-113.489824704736435	2.117212728191085	0.261586389894174	0.261586389894174	1.000000000000000	0.979613738478487	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16101	0	1	1	3	1	4	4	11	5	8	2	1	1	1	1	1	1	1	1	1	1	1
11000	-106.291063180073436	-108.368928061480545	2.077864881407109	0.118082207763960	0.118082207763960	1.000000000000000	0.975340232545464	0.000000000000000	16083	16089	16107	16112	16116	16124	16132	16134	16133	16139	16102	0	1	1	1	4	1	5	6	6	5	1	1	1	1	1	1	1	1	1	1	1	1
11500	-105.500052596731507	-106.922629007232302	1.422576410500789	0.119653352976774	0.119653352976774	1.000000000000000	0.906849528818505	0.000000000000000	16083	16089	16107	16112	16117	16124	16131	16135	16133	16139	16102	0	1	1	1	1	5	6	6	6	5	1	1	1	1	1	1	1	1	1	1	1	1
12000	-110.101725753031900	-112.259684400120733	2.157958647088828	0.114966016448641	0.114966016448641	1.000000000000000	0.984058822158119	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	3	3	4	5	6	1	5	1	1	1	1	1	1	1	1	1	1	1	1
12500	-114.587360532382107	-114.509654655083594	-0.077705877298512	0.119873089268679	0.119873089268679	1.000000000000000	0.767607476745686	0.000000000000000	16083	16086	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	2	1	4	4	5	11	6	6	1	1	1	1	1	1	1	1	1	1	1	1
13000	-109.943761480576541	-111.952852750854305	2.009091270277771	0.147653925556891	0.147653925556891	1.000000000000000	0.967915562099551	0.000000000000000	16083	16088	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	2	1	5	4	6	3	9	1	1	1	1	1	1	1	1	1	1	1	1
13500	-110.352855890321891	-111.823479474184268	1.470623583862382	0.132516881205955	0.132516881205955	1.000000000000000	0.911703758682441	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	2	1	1	5	3	1	6	1	1	1	1	1	1	1	1	1	1	1	1
14000	-106.222527950598064	-107.694093556696274	1.471565606098213	0.063290056608041	0.063290056608041	1.000000000000000	0.911799190922667	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16132	16139	16102	0	1	1	1	1	1	5	6	6	5	1	1	1	1	1	1	1	1	1	1	1	1
14500	-106.175722616582604	-108.303149845696524	2.127427229113925	0.194844861652373	0.194844861652373	1.000000000000000	0.980726176907676	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16134	16133	16139	16102	0	1	1	1	1	5	1	5	1	8	1	1	1	1	1	1	1	1	1	1	1	1
15000	-110.835444959257757	-113.088990999803087	2.253546040545333	0.149679698219148	0.149679698219148	1.000000000000000	0.994566034090955	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	3	4	4	5	5	2	8	1	1	1	1	1	1	1	1	1	1	1	1
15500	-111.612957620027444	-113.566526958137260	1.953569338109818	0.074615956367863	0.074615956367863	1.000000000000000	0.961962771316495	0.000000000000000	16083	16089	16107	16111	16117	16124	16132	16135	16133	16139	16102	0	1	1	3	3	5	1	7	6	8	1	1	1	1	1	1	1	1	1	1	1	1
16000	-106.318429145219568	-108.495330549394822	2.176901404175249	0.131706791948865	0.131706791948865	1.000000000000000	0.986132201947339	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16133	16133	16139	16102	0	1	1	1	1	1	6	5	5	7	1	1	1	1	1	1	1	1	1	1	1	1
16500	-106.155487258458052	-108.180936136438461	2.025448877980403	0.163976861097493	0.163976861097493	1.000000000000000	0.969676359867470	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16133	16133	16139	16101	0	1	1	1	1	5	6	7	6	9	1	1	1	1	1	1	1	1	1	1	1	1
17000	-109.718888212791683	-111.929341913003810	2.210453700212125	0.128590684205460	0.128590684205460	1.000000000000000	0.989815396502435	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	2	2	1	2	6	5	6	8	1	1	1	1	1	1	1	1	1	1	1	1
