step	post	like	prior	mu1	mu2	gamma	pi	spa1	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11
1	-157.686767149800914	-158.722589542814177	1.035822393013266	0.000100000000000	0.000100000000000	1.000000000000000	0.868705235329526	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	11	1	11	3	4	7	11	5	1	1	1	1	1	1	1	1	1	1	1	1
500	-128.364846048902734	-130.655143124397853	2.290297075495107	0.000100134325019	0.000100134325019	1.000000000000000	0.998635596368500	0.000000000000000	16083	16088	16107	16112	16117	16124	16132	16135	16133	16139	16101	0	1	1	1	1	1	5	1	6	6	1	1	1	1	1	1	1	1	1	1	1	1
1000	-128.525622807795003	-130.336774285030771	1.811151477235770	0.000100153190016	0.000100153190016	1.000000000000000	0.946860281132044	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	1	5	5	5	6	6	1	1	1	1	1	1	1	1	1	1	1	1
1500	-128.259786510559337	-130.111080330977614	1.851293820418272	0.000100305961179	0.000100305961179	1.000000000000000	0.951092956905316	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	1	5	6	6	6	6	1	1	1	1	1	1	1	1	1	1	1	1
2000	-129.206978299035654	-130.763581295059595	1.556602996023937	0.000100304286710	0.000100304286710	1.000000000000000	0.920455245131360	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16134	16133	16139	16102	0	1	1	1	1	5	5	11	5	8	1	1	1	1	1	1	1	1	1	1	1	1
2500	-127.915800113724345	-130.086183366455231	2.170383252730879	0.000099253674632	0.000099253674632	1.000000000000000	0.985418265060535	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16136	16102	0	1	1	1	1	1	6	6	6	8	1	1	1	1	1	1	1	1	1	1	1	1
3000	-128.679603180537981	-130.828750417995479	2.149147237457496	0.000098475133602	0.000098475133602	1.000000000000000	0.983095855253324	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	1	1	1	5	5	8	1	1	1	1	1	1	1	1	1	1	1	1
3500	-128.320597184778848	-130.205167318741104	1.884570133962267	0.000095862988474	0.000095862988474	1.000000000000000	0.954616006725007	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	1	5	6	5	6	8	1	1	1	1	1	1	1	1	1	1	1	1
4000	-127.971176922991205	-130.225620776873683	2.254443853882484	0.000094815175249	0.000094815175249	1.000000000000000	0.994665254000935	0.000000000000000	16083	16086	16107	16112	16117	16124	16132	16135	16133	16138	16102	0	1	1	1	1	5	5	11	5	9	1	1	1	1	1	1	1	1	1	1	1	1
4500	-132.579810334187300	-134.041548105735529	1.461737771548243	0.000093583235840	0.000093583235840	1.000000000000000	0.910804066395820	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	1	5	5	6	5	1	1	1	1	1	1	1	1	1	1	1	2	1
5000	-128.913019639124201	-130.587786901514903	1.674767262390714	0.000106299713316	0.000106299713316	1.000000000000000	0.932619918566200	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	1	5	6	1	6	6	1	1	1	1	1	1	1	1	1	1	1	1
5500	-128.448622433327301	-130.571489929069799	2.122867495742490	0.000112975913019	0.000112975913019	1.000000000000000	0.980229430544790	0.000000000000000	16083	16089	16107	16112	16116	16124	16132	16135	16133	16139	16102	0	1	1	1	1	1	1	5	5	5	1	1	1	1	1	1	1	1	1	1	1	1
6000	-131.041886186548254	-132.606045742325648	1.564159555777382	0.000146192352616	0.000146192352616	1.000000000000000	0.921228400225556	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16132	16139	16100	0	1	1	1	1	1	6	5	6	6	1	1	1	1	1	2	1	1	1	1	1	1
6500	-124.969862361977576	-127.213706632545581	2.243844270568007	0.000248510683054	0.000248510683054	1.000000000000000	0.993494494975052	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16132	16139	16102	0	1	1	1	1	5	1	11	1	8	1	1	1	1	1	1	1	1	1	1	1	1
7000	-124.637824279805059	-126.634354237578421	1.996529957773364	0.000318629377392	0.000318629377392	1.000000000000000	0.966565583307510	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	1	1	6	11	5	1	1	1	1	1	1	1	1	1	1	1	1	1
7500	-116.980178581335025	-118.736336225103287	1.756157643768264	0.001813744168290	0.001813744168290	1.000000000000000	0.941092202164578	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	1	5	5	5	6	8	1	1	1	1	1	1	1	1	1	1	1	1
8000	-117.901116416279436	-118.790257912862089	0.889141496582652	0.008240978326980	0.008240978326980	1.000000000000000	0.854661932783270	0.000000000000000	16083	16088	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	1	1	1	1	5	6	1	1	1	1	1	1	1	1	1	1	2	1
8500	-106.350635313815161	-108.599207439515936	2.248572125700773	0.096927116059271	0.096927116059271	1.000000000000000	0.994016531863584	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	2	1	6	6	5	5	1	1	1	1	1	1	1	1	1	1	1	1
9000	-104.683293395682199	-106.931011500212279	2.247718104530072	0.132846321600441	0.132846321600441	1.000000000000000	0.993922212876206	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	1	1	1	6	5	8	1	1	1	1	1	1	1	1	1	1	1	1
9500	-109.036700861138442	-110.355421498250749	1.318720637112306	0.124339827772565	0.124339827772565	1.000000000000000	0.896445057943000	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16136	16102	0	1	1	1	3	5	6	7	6	8	1	1	1	1	1	1	1	1	1	1	1	1
10000	-110.329614434764409	-111.867239481051712	1.537625046287304	0.280906114705714	0.280906114705714	1.000000000000000	0.918516361920582	0.000000000000000	16083	16087	16105	16112	16117	16124	16132	16135	16133	16139	16102	0	1	2	1	1	5	6	1	6	9	1	1	1	1	1	1	1	1	1	1	1	1
10500	-106.809565685447012	-108.745297173015643	1.935731487568632	0.157067232330537	0.157067232330537	1.000000000000000	0.960058065250025	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	2	1	5	6	6	9	1	1	1	1	1	1	1	1	1	1	1	1
11000	-111.388138529596475	-113.484077575515769	2.095939045919292	0.138933319868060	0.138933319868060	1.000000000000000	0.977300918408483	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	2	2	1	1	1	11	4	1	1	1	1	1	1	1	1	1	1	1	1	1
11500	-108.344088287962080	-110.562694154514446	2.218605866552359	0.124915441256451	0.124915441256451	1.000000000000000	0.990712373764699	0.000000000000000	16083	16089	16107	16112	16117	16123	16132	16135	16133	16139	16102	0	1	1	1	1	3	6	6	1	5	2	1	1	1	1	1	1	1	1	1	1	1
12000	-106.437754401605360	-108.596859521939891	2.159105120334532	0.084354541443620	0.084354541443620	1.000000000000000	0.984184185377349	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	3	5	6	6	6	1	1	1	1	1	1	1	1	1	1	1	1	1
12500	-110.596043572762667	-112.450982629891087	1.854939057128417	0.228075001291985	0.228075001291985	1.000000000000000	0.951478252589855	0.000000000000000	16083	16089	16107	16110	16117	16124	16132	16131	16133	16139	16101	0	1	1	2	3	5	5	4	1	9	1	1	1	1	1	1	1	1	1	1	1	1
